Source,Type,Target,Weight
Андрей Бабичев,Undirected,Анечка Прокопович,1
Андрей Бабичев,Undirected,Валя,5
Андрей Бабичев,Undirected,Витя,2
Андрей Бабичев,Undirected,Врач,1
Андрей Бабичев,Undirected,Гарри,1
Андрей Бабичев,Undirected,Дамочка в зеленом,2
Андрей Бабичев,Undirected,Зиночка,2
Андрей Бабичев,Undirected,Иван Бабичев,4
Андрей Бабичев,Undirected,Менее пьяный гость,2
Андрей Бабичев,Undirected,Михал Михалыч,2
Андрей Бабичев,Undirected,Немец Харман,1
Андрей Бабичев,Undirected,Николай Кавалеров,5
Андрей Бабичев,Undirected,Почтенный старик,2
Андрей Бабичев,Undirected,Представители союза пищевиков,1
Андрей Бабичев,Undirected,Сильно пьяный гость,2
Андрей Бабичев,Undirected,Соломон Шапиро,2
Андрей Бабичев,Undirected,Футболисты,1
Андрей Бабичев,Undirected,Хозяйка,1
Анечка Прокопович,Undirected,Валя,1
Анечка Прокопович,Undirected,Врач,1
Анечка Прокопович,Undirected,Иван Бабичев,1
Анечка Прокопович,Undirected,Николай Кавалеров,1
Валя,Undirected,Витя,1
Валя,Undirected,Врач,1
Валя,Undirected,Дамочка в зеленом,1
Валя,Undirected,Зиночка,1
Валя,Undirected,Иван Бабичев,3
Валя,Undirected,Менее пьяный гость,1
Валя,Undirected,Михал Михалыч,1
Валя,Undirected,Немец Харман,1
Валя,Undirected,Николай Кавалеров,4
Валя,Undirected,Почтенный старик,1
Валя,Undirected,Представители союза пищевиков,1
Валя,Undirected,Сильно пьяный гость,1
Валя,Undirected,Соломон Шапиро,2
Валя,Undirected,Футболисты,1
Витя,Undirected,Гарри,1
Витя,Undirected,Дамочка в зеленом,2
Витя,Undirected,Зиночка,2
Витя,Undirected,Иван Бабичев,2
Витя,Undirected,Менее пьяный гость,2
Витя,Undirected,Михал Михалыч,2
Витя,Undirected,Немец Харман,1
Витя,Undirected,Николай Кавалеров,2
Витя,Undirected,Почтенный старик,2
Витя,Undirected,Представители союза пищевиков,1
Витя,Undirected,Сильно пьяный гость,2
Витя,Undirected,Соломон Шапиро,1
Витя,Undirected,Футболисты,1
